trapType,captureRate
T-UV-SL,0.0
T-UV-RL,0.0
T-UV,0.0
T,0.0
T-RL,0.0
T-SL,0.28360413589364847
T-UV,0.0
T-SL,0.0
T-UV-RL,0.0
T-UV-SL,0.0
T,0.0
T-RL,0.36585365853658536
T,0.0
T-RL,0.0
T-UV-SL,0.0
T-UV,0.06666666666666667
T-SL,0.13333333333333333
T-UV-RL,0.26666666666666666
T-UV-RL,0.0
T-UV-SL,0.0712166172106825
T-SL,0.0712166172106825
T-RL,0.0
T-UV,0.0
T,0.0
T-SL,0.0
T,0.0
T-RL,0.0
T-UV-RL,0.0
T-UV-SL,0.3582089552238806
T-UV,0.0
T-RL,0.0
T-UV,0.0
T,0.0
T-SL,0.0
T-UV-RL,0.0
T-UV-SL,0.2857142857142857
T-SL,0.0
T-UV-RL,0.0
T-UV,0.0
T,0.0
T-UV-SL,0.0
T-RL,0.07117789530917898
T-RL,0.0
T,0.0
T-UV-SL,0.0
T-SL,0.0
T-UV,0.0
T-UV-RL,0.0
T,0.0
T-RL,0.0
T-SL,0.0
T-UV,0.0
T-UV-RL,0.0
T-UV-SL,0.0
T-UV,0.0
T-SL,0.0
T-UV-RL,0.0
T-UV-SL,0.0
T-RL,0.07160616608652412
T,0.0
T-UV-RL,0.0713224368499257
T-UV-SL,0.0
T,0.0
T-RL,0.0
T-SL,0.0
T-UV,0.0
T-UV-SL,0.0
T-UV,0.0
T-RL,0.0
T-UV-RL,0.0
T,0.0
T-SL,0.0
T-RL,0.15265557086822856
T-UV-SL,0.22898335630234282
T-UV-RL,0.6869500689070285
T-UV,0.0
T-SL,0.07632778543411428
T,0.0
T,0.0
T-SL,0.0
T-UV,0.0
T-UV-RL,0.0
T-RL,0.05234460196292257
T-UV-SL,0.05234460196292257
T-UV-SL,0.600416956219597
T-RL,0.0
T,0.0
T-SL,0.0
T-UV-RL,0.0
T-UV,0.0
T-SL,0.3581198706789356
T-UV-RL,0.0
T-UV-SL,0.7878637154936583
T,0.0
T-UV,0.0
T-RL,0.0
T-UV-RL,0.2855301640807019
T-UV,0.0
T-RL,0.0
T-UV-SL,0.0
T,0.0
T-SL,0.0
T-UV,0.0
T,0.0
T-SL,0.0717774897816768
T-RL,0.0
T-UV-SL,0.0
T-UV-RL,0.0717774897816768
T-UV-RL,0.21274500147739583
T,0.0
T-UV-SL,0.21274500147739583
T-SL,0.0
T-UV,0.0
T-RL,0.0
T,0.0
T-SL,0.0
T-UV,0.05542725173210161
T-UV-SL,0.05542725173210161
T-RL,0.0
T-UV-RL,0.22170900692840645
T-RL,0.0
T-UV,0.0
T,0.0
T-UV-RL,0.10031347962382445
T-SL,0.0
T-UV-SL,0.0
T-SL,0.0
T-UV-RL,0.0
T-RL,0.0
T,0.0
T-UV-SL,0.0
T-UV,0.0
T-UV-SL,0.2143920595533499
T-RL,0.0
T-UV-RL,0.0
T-UV,0.0
T,0.0
T-SL,0.0
T-UV,0.0
T-UV-SL,0.0712166172106825
T-SL,0.0
T-RL,0.0
T-UV-RL,0.0
T,0.0
T-RL,0.0
T-UV,0.0
T,0.0
T-UV-SL,0.2122224405580664
T-UV-RL,0.0
T-SL,0.0
T-UV-SL,0.0
T-UV-RL,0.05579232855482371
T-SL,0.0
T,0.0
T-UV,0.0
T-RL,0.0
T-SL,0.0
T-RL,0.0
T-UV-SL,0.0
T-UV-RL,0.0
T,0.0
T-UV,0.0
T-UV,0.0
T,0.0
T-UV-RL,0.0
T-SL,0.0
T-RL,0.0
T-UV-SL,0.0
T-UV-RL,0.0
T-SL,0.07135777998017839
T-RL,0.0
T-UV,0.0
T-UV-SL,0.0
T,0.0
T,0.0
T-UV-SL,0.0
T-UV,0.0
T-RL,0.0
T-SL,0.0
T-UV-RL,0.0
T-RL,0.05309734513274337
T-UV-RL,0.05309734513274337
T-UV-SL,0.21238938053097348
T,0.0
T-SL,0.10619469026548674
T-UV,0.0
T-UV-RL,0.200836820083682
T,0.0
T-SL,0.0
T-UV-SL,0.0
T-UV,0.0
T-RL,0.200836820083682
T-UV-SL,0.0
T-UV,0.0
T-RL,0.0
T-UV-RL,0.0
T,0.0
T-SL,0.14307004470938897
T-SL,0.0713224368499257
T-UV-SL,0.0
T-UV,0.0
T-RL,0.0
T-UV-RL,0.0
T,0.0
T,0.0
T-SL,0.0
T-UV-RL,0.0
T-UV,0.0
T-RL,0.0
T-UV-SL,0.42603550295857984
T-UV,0.0
T-RL,0.0
T,0.0
T-SL,0.0
T-UV-SL,0.11764705882352941
T-UV-RL,0.4117647058823529
