xtrapLocationID,cycle,cycleStart,cycleStop
Chargalauf,1,2013-05-10 08:34:00,2013-05-24 09:45:00
Chargalauf,2,2013-05-24 09:45:00,2013-06-11 13:00:00
Chargalauf,3,2013-06-11 13:00:00,2013-06-21 13:20:00
Chargalauf,4,2013-06-21 13:20:00,2013-07-05 12:30:00
Chargalauf,5,2013-07-05 12:30:00,2013-07-19 13:00:00
Chargalauf,6,2013-07-19 13:00:00,2013-08-02 12:00:00
GICC Dededo Golf Course,1,2013-05-23 15:00:00,2013-06-11 11:00:00
GICC Dededo Golf Course,2,2013-06-11 11:00:00,2013-06-21 10:00:00
GICC Dededo Golf Course,3,2013-06-21 10:00:00,2013-07-05 09:30:00
GICC Dededo Golf Course,4,2013-07-05 09:30:00,2013-07-19 10:00:00
GICC Dededo Golf Course,5,2013-07-19 10:00:00,2013-08-02 12:00:00
GICC Dededo Golf Course,6,2013-08-02 12:00:00,2013-08-19 12:00:00
LeoPalace,1,2013-05-10 08:34:00,2013-05-24 11:00:00
LeoPalace,2,2013-05-24 11:00:00,2013-06-11 12:00:00
LeoPalace,3,2013-06-11 12:00:00,2013-06-21 11:15:00
LeoPalace,4,2013-06-21 11:15:00,2013-07-05 11:10:00
LeoPalace,5,2013-07-05 11:10:00,2013-07-19 11:00:00
LeoPalace,6,2013-07-19 11:00:00,2013-08-02 12:00:00
Temple,1,2013-05-10 08:34:00,2013-05-24 11:50:00
Temple,2,2013-05-24 11:50:00,2013-06-11 10:00:00
Temple,3,2013-06-11 10:00:00,2013-06-21 09:30:00
Temple,4,2013-06-21 09:30:00,2013-07-05 10:40:00
Temple,5,2013-07-05 10:40:00,2013-07-19 11:00:00
Temple,6,2013-07-19 11:00:00,2013-08-02 12:00:00
Windward,1,2013-05-10 09:34:00,2013-05-23 12:00:00
Windward,2,2013-05-23 12:00:00,2013-06-11 14:30:00
Windward,3,2013-06-11 14:30:00,2013-06-21 14:20:00
Windward,4,2013-06-21 14:20:00,2013-07-05 13:25:00
Windward,5,2013-07-05 13:25:00,2013-07-19 13:38:00
Windward,6,2013-07-19 13:38:00,2013-08-02 12:00:00
Yigo,1,2013-04-19 15:30:00,2013-05-03 18:00:00
Yigo,2,2013-05-03 18:00:00,2013-05-17 10:00:00
Yigo,3,2013-05-17 10:00:00,2013-06-01 10:00:00
Yigo,4,2013-06-01 10:00:00,2013-06-15 11:00:00
Yigo,5,2013-06-15 11:00:00,2013-06-29 10:00:00
Yigo,6,2013-06-29 10:00:00,2013-07-13 10:00:00
