xtrapLocationID,station,latitude,longitude
Yigo,1,13.531877,144.874211
Yigo,2,13.5315,144.874121
Yigo,3,13.531177,144.874047
Yigo,4,13.530853,144.874017
Yigo,5,13.530486,144.873966
Yigo,6,13.530146,144.873928
Chargalauf,1,13.251743,144.726037
Chargalauf,2,13.251464,144.726176
Chargalauf,3,13.251293,144.726292
Chargalauf,4,13.251107,144.726417
Chargalauf,5,13.250861,144.726708
Chargalauf,6,13.250642,144.726968
Windward,6,13.380645,144.741712
Windward,5,13.380987,144.741927
Windward,4,13.38139,144.74202
Windward,3,13.381633,144.742416
Windward,2,13.38211,144.742334
Windward,1,13.382479,144.742658
LeoPalace,1,13.41695,144.7413
LeoPalace,2,13.416813,144.741242
LeoPalace,3,13.416667,144.741168
LeoPalace,4,13.416527,144.741098
LeoPalace,5,13.416395,144.741034
LeoPalace,6,13.41627,144.740965
Temple,1,13.450255,144.777775
Temple,2,13.450113,144.777747
Temple,3,13.449976,144.777734
Temple,4,13.449785,144.777677
Temple,5,13.449677,144.777665
Temple,6,13.44955,144.77769
GICC Dededo Golf Course,1,13.5205,144.85036
GICC Dededo Golf Course,2,13.52034,144.85004
GICC Dededo Golf Course,3,13.52021,144.84973
GICC Dededo Golf Course,4,13.52016,144.84939
GICC Dededo Golf Course,5,13.52002,144.84901
GICC Dededo Golf Course,6,13.5198,144.84877
