xtrapLocationID,cycle,xtrapStation,trapType,lureID,lureStartMass,lureStopMass,maleCRB,femaleCRB,note
Yigo,1,1,T-UV-SL,sl2,2640.0,,0,0,lure could not be weighed at end of cycle because it had taken on water
Yigo,1,2,T-UV-RL,rr2,10041.0,9909.0,0,0,
Yigo,1,3,T-UV,,0.0,0.0,0,0,
Yigo,1,4,T,,0.0,0.0,0,0,
Yigo,1,5,T-RL,rr1,9746.0,9665.0,0,0,
Yigo,1,6,T-SL,sl1,2601.0,2518.0,3,1,
Yigo,2,1,T-UV,,0.0,0.0,0,0,
Yigo,2,2,T-SL,am3,2113.0,1686.0,0,0,
Yigo,2,3,T-UV-RL,am1,2522.0,2310.0,0,0,UV dim
Yigo,2,4,T-UV-SL,am4,2343.0,2089.0,0,0,UV out
Yigo,2,5,T,,0.0,0.0,0,0,
Yigo,2,6,T-RL,am2,2247.0,1988.0,5,0,
Yigo,3,1,T,,0.0,0.0,0,0,
Yigo,3,2,T-RL,3-2,2617.0,2396.0,0,0,
Yigo,3,3,T-UV-SL,3-4,2761.0,2503.0,0,0,
Yigo,3,4,T-UV,,0.0,0.0,0,1,
Yigo,3,5,T-SL,3-1,2559.0,2317.0,0,2,
Yigo,3,6,T-UV-RL,3-3,2753.0,2521.0,2,2,
Yigo,4,1,T-UV-RL,Yigo Cycle4 T-UV-RL,,,0,0,
Yigo,4,2,T-UV-SL,Yigo Cycle4 T-UV-SL,,,1,0,
Yigo,4,3,T-SL,Yigo Cycle4 T-SL,,,0,1,
Yigo,4,4,T-RL,Yigo Cycle4 T-RL,,,0,0,
Yigo,4,5,T-UV,,0.0,0.0,0,0,UV broken when picked up
Yigo,4,6,T,,0.0,0.0,0,0,
Yigo,5,1,T-SL,Yigo Cycle5 T-SL,2210.0,2054.0,0,0,
Yigo,5,2,T,,0.0,0.0,0,0,
Yigo,5,3,T-RL,Yigo Cycle5 T-RL,1119.0,1111.0,0,0,
Yigo,5,4,T-UV-RL,Yigo Cycle5 T-UV-RL,1128.0,1118.0,0,0,
Yigo,5,5,T-UV-SL,Yigo Cycle5 T-UV-SL,2150.0,1970.0,4,1,
Yigo,5,6,T-UV,,0.0,0.0,0,0,
Yigo,6,1,T-RL,Yigo Cycle6 T-RL,1239.0,1216.0,0,0,
Yigo,6,2,T-UV,,0.0,0.0,0,0,
Yigo,6,3,T,,0.0,0.0,0,0,
Yigo,6,4,T-SL,Yigo Cycle6 T-SL,2532.0,2357.0,0,0,
Yigo,6,5,T-UV-RL,Yigo Cycle6 T-UV-RL,1207.0,1183.0,0,0,
Yigo,6,6,T-UV-SL,Yigo Cycle6 T-UV-SL,2130.0,1949.0,3,1,
Chargalauf,1,1,T-SL,001,3025.0,2388.0,0,0,
Chargalauf,1,2,T-UV-RL,002,2837.0,2162.0,0,0,
Chargalauf,1,3,T-UV,,0.0,0.0,0,0,batteries fell out
Chargalauf,1,4,T,,0.0,0.0,0,0,
